fiscal_year,department,division,group_code,unit,long_name,short_name,active
2026,COM,5730,5730,MP06,CITY OF MOORPARK,CITY OF MOORPARK,true
2026,GSA,4600,4601,CGSA,Check to GSA,Check to GSA,true
2026,CRT,6200,6285,6297,Superior Courts: Sierra,Superior Courts: Sierra,true
2026,CRT,6200,6285,6298,Superior Courts: Sutter,Superior Courts: Sutter,true
2026,CRT,6200,6285,6299,Superior Courts: Nevada,Superior Courts: Nevada,true
2027,CRT,6200,6285,6297,Superior Courts: Sierra,Superior Courts: Sierra,true
2027,CRT,6200,6285,6298,Superior Courts: Sutter,Superior Courts: Sutter,true
2027,CRT,6200,6285,6299,Superior Courts: Nevada,Superior Courts: Nevada,true
2027,AMN,2860,2861,9998,Animal Services Foundation,Animal Services Foundation,true
2027,COM,5730,5730,MP06,CITY OF MOORPARK,CITY OF MOORPARK,true
2027,GSA,4600,4601,CGSA,Check to GSA,Check to GSA,true
2027,AGR,2800,2830,UCCE,UC Agricultur and Natural Resources,UCA and N,true
