agency_id,name,long_name,short_name,active
AAA,AREA AGENCY ON AGING,AREA AGENCY ON AGING,AGY ON AGING,true
ACO,BATCH PROCESSING AUDITOR-CONTROLLER,BATCH PROCESSING AUDITOR-CONTROLLER,ACO,true
AGR,AGRICULTURE AND WEIGHTS AND MEASURES,AGRICULTURE AND WEIGHTS AND MEASURES,AG WTS MEAS,true
AIR,DEPARTMENT OF AIRPORTS,DEPARTMENT OF AIRPORTS,AIRPORTS,true
ALL,ALL DEPARTMENT,ALL DEPARTMENT,ALL DEPT,true
ANM,ANIMAL SERVICES,ANIMAL SERVICES,ANIMAL SERVICES,true
APC,AIR POLLUTION CONTROL DISTRICT,AIR POLLUTION CONTROL DISTRICT,APCD,true
ASR,ASSESSOR,ASSESSOR,ASSESSOR,true
ATL,ANTELOPE VALLEY E KERN WATER AGENCY,ANTELOPE VALLEY E KERN WATER AGENCY,ANTL KRN WTR,true
AUD,AUDITOR-CONTROLLER,AUDITOR-CONTROLLER,AUDITOR,true
AVR,ANTELOPE VALLEY RESOURCE CONSERVATION DISTRICT,ANTELOPE VALLEY RESOURCE CONSERVATION DISTRICT,ANTL VLY RES,true
BCE,BARDSDALE CEMETARY,BARDSDALE CEMETARY,BARDSDLE CEM,true
BEA,BEACH EROSION AUTHORITY FOR CLEAN OCEANS AND NOURISHMENT,BEACH EROSION AUTHORITY FOR CLEAN OCEANS AND NOURISHMENT,BEACON,true
BEL,BELL CANYON COMMUNITY SERVICES DISTRICT,BELL CANYON COMMUNITY SERVICES DISTRICT,BELL CYN DST,true
BNY,BANK NEW YORK,BANK NEW YORK,BANK NEW YORK,true
BOS,BOARD OF SUPERVISORS,BOARD OF SUPERVISORS,BOARD OF SUPV,true
BPL,BLANCHARD SANTA PAULA PUBLIC LIBRARY,BLANCHARD SANTA PAULA PUBLIC LIBRARY,BLANCHRD LiB,true
CAL,CALLEGUAS MUNICIPAL WATER DISTRICT,CALLEGUAS MUNICIPAL WATER DISTRICT,CLLEGUAS WTR,true
CAM,CAMROSA WATER DISTRICT,CAMROSA WATER DISTRICT,CAMROSA WTR,true
CAS,CASITAS MUNICIPAL WATER DISTRICT,CASITAS MUNICIPAL WATER DISTRICT,CASITAS WTR,true
