agency_id,division_id,department_id,unit_id,long_name,short_name,active
AAA,3500,3501,3501,OLDER AMERICANS PROGRAMS,OLDR AMER PGRMS,true
AAA,3500,3503,3503,AAA- MSSP,AAA MSSP,true
AAA,3500,3505,3505,AAA OTHER SENIOR PROGRAMS,OTHR SNR PROG,true
AAA,3500,3507,3507,AAA CARE TRANSITIONS PROGRAM,CARE TRANS PROG,true
AAA,3500,3509,3509,AAA CAL AIM,AAA CAL AIM,true
AGR,2800,2810,2810,PESTICIDE USE ENFORCEMENT,PEST ENFORCE,true
AGR,2800,2820,2820,PEST MANAGEMENT,PEST MANAGMNT,true
AGR,2800,2830,2830,INSPECTION SERVICES,INSPECTION SVCS,true
AGR,2800,2830,2831,WEIGHTS AND MEASURES,WGHTS AND MEAS,true
AGR,2800,2840,2840,PEST EXCLUSION QUARANTINE,PEST EXCLUSION,true
AGR,2800,2850,2850,ADMINISTRATION,ADMINISTRATION,true
AIR,5000,5001,5001,OXNARD AIRPORT ADMINISTRATION,OX AIRPRT ADMN,true
AIR,5000,5001,ALL,ALL UNIT,ALL UNIT,true
AIR,5000,5003,5003,OXNARD AIRPORT OPERATIONS,OX AIRPORT OPS,true
AIR,5000,5005,5005,OXNARD AIRPORT MAINTENANCE,OX AIRPT MAINT,true
AIR,5020,5021,5021,CAMARILLO AIRPORT ADMINISTRATION,CAM AIRPRT ADMN,true
AIR,5020,5023,5023,CAMARILLO AIRPORT OPERATIONS,CAM AIRPORT OPS,true
AIR,5020,5025,5025,CAMARILLO AIRPORT MAINTENANCE,CAM AIRPT MAINT,true
AIR,5020,5026,5026,CAMARILLO AIRPORT MAINTENANCE,CAM AIRPT MAINT,true
AIR,5020,5027,5027,BUSINESS PARK IMPROVEMENTS,BUS PRK IMPV,true
AIR,5040,5041,5041,AIRPORTS CAPITAL PROJECTS,AIR CAP PJCTS,true
AIR,5060,5060,5060,CAMARILLO AIRPORT ROADS AND LIGHTING,CAM AIR ROAD,true
ANM,2860,2861,2861,ADMINISTRATION,ADMINISTRATION,true
ANM,2860,2862,2862,LICENSING,LICENSING,true
ANM,2860,2863,2863,SHELTER OPERATIONS,SHELTER OPS,true
ANM,2860,2864,2864,VETERINARY SERVICES,VET SERVICES,true
ANM,2860,2865,2865,FIELD SERVICES,FIELD SERVICES,true
ANM,2870,2870,2870,SPAY AND NEUTER PROGRAM,SPAY NEUTR PGRM,true
APC,6150,6150,6150,AIR POLLUTION CONTROL DISTRICT,APCD,true
APC,6155,6155,6155,AIR POLLUTION GRANTS,APCD GRANTS,true
ASR,1600,1612,1612,PROPOSITION 13,PROPOSITION 13,true
ASR,1600,1613,1613,PROPOSITION 8 DECLINE VALUE,PROP 8,true
ASR,1600,1614,1614,RESTRICTED NON PROP 13,NON PROP 13,true
ASR,1600,1615,1615,PERSONAL PROPERTY,PERSONAL PROP,true
ASR,1600,1616,1616,EXEMPTIONS,EXEMPTIONS,true
ASR,1600,1617,1617,CHANGED ASSESSMENTS,CHANGED ASSESS,true
ASR,1600,1618,1618,ROLL CHANGES,ROLL CHANGES,true
ASR,1600,1619,1619,PARCEL MANAGEMENT,PARCEL MGMT,true
ASR,1600,1620,1620,PUBLIC SERVICE,PUBLIC SERVICE,true
ATL,5650,5650,5650,ANTELOPE VALLEY EAST KERN WATER AGENCY,ANT KERN WTR AY,true
AUD,1500,1510,1510,ADMINISTRATION,ADMIN,true
AUD,1500,1520,1520,PROPERTY TAX,PROPERTY TAX,true
AUD,1500,1530,1530,GENERAL ACCOUNTING,GENERAL ACCT,true
AUD,1500,1540,1540,FINANCIAL MANAGEMENT AND REPORTING,FIN MGMT REP,true
AUD,1500,1550,1550,INTERNAL AUDIT,INTERNAL AUDIT,true
AUD,1500,1560,1560,BUSINESS TECHNOLOGY,BUSINESS TECH,true
AUD,1500,1570,1570,FINANCIAL PLANNING,FINANCIAL PLAN,true
AUD,1580,1580,1580,VCFMS UPGRADE,VCFMS,true
AUD,1585,1585,1585,DEBRIS REMOVAL COLLECTION PROGRAM,DEBRIS COLL PRO,true
AVR,5655,5655,5655,ANTELOPE VALLEY RESOURCE CONSERVATION DISTRICT,ANT VLY RSRC CN,true
